keys,file,name
MUSIC1,hopes_and_dreams.ogg,Hopes and Dreams
MUSIC2,a_neon_glow_lights_the_way.ogg,A Neon Glow Lights…
MUSIC3,welcome_to_valhalla.ogg,Welcome to VA-11 HALL-A
MUSIC4,every_day_is_night.ogg,Every Day is Night
MUSIC5,commencing_simulation.ogg,Commencing Simulation
MUSIC6,drive_me_wild.ogg,Drive Me Wild
MUSIC7,good_for_health_bad_for_education.ogg,"Good for Health, Bad for…"
MUSIC8,who_was_i.ogg,Who Was I?
MUSIC9,troubling_news.ogg,Troubling News
MUSIC10,a_gaze_that_invited_disaster.ogg,A Gaze That Invited…
MUSIC11,friendly_conversation.ogg,Friendly Conversation
MUSIC12,youve_got_me.ogg,You’ve Got Me
MUSIC13,umemoto.ogg,Umemoto
MUSIC14,jc_eltons.ogg,JC Elton’s
MUSIC15,go_go_streaming_chan.ogg,Go! Go! Streaming-chan!
MUSIC16,all_systems_go.ogg,"All Systems, Go!"
MUSIC17,where_do_i_go_from_here.ogg,Where Do I Go From Here
MUSIC18,will_you_remember_me.ogg,Will You Remember Me
MUSIC19,everything_will_be_okay.ogg,Everything Will Be Okay
MUSIC20,march_of_the_white_knights.ogg,March of the White Kni…
MUSIC21,a_rene.ogg,A. Rene
MUSIC22,safe_haven.ogg,Safe Haven
MUSIC23,neo_avatar.ogg,Neo Avatar
MUSIC24,those_who_dwell_in_the_shadows.ogg,Those Who Dwell in Shadows
MUSIC25,nightime_maneuvers.ogg,Nighttime Maneuvers
MUSIC26,a_star_pierces_the_darkness.ogg,A Star Pierces the Dark…
MUSIC27,your_love_is_a_drug.ogg,You Love is a Drug
MUSIC28,through_the_storm_we_will_find_a_way.ogg,"Through the Storm, We…"
MUSIC29,synthestitch.ogg,Synthestitch
MUSIC30,snowfall.ogg,Snowfall
MUSIC31,the_answer_lies_within.ogg,The Answer Lies Within
MUSIC32,dawn_approaches.ogg,Dawn Approaches
MUSIC33,with_renewed_hope_we_continue_forward.ogg,"With Renewed Hope, We…"
MUSIC34,last_call.ogg,Last Call
MUSIC35,reminescence.ogg,Reminiscence
MUSIC36,believe_in_me_who_believes_in_you.ogg,Believe in Me Who…
MUSIC37,digital_drive.ogg,Digital Drive
MUSIC38,the_girl_with_the_iron_heart.ogg,The Girl with the Iron Heart
MUSIC39,metropolis.ogg,Metropolis
MUSIC40,neon_district.ogg,Neon District
MUSIC41,karmotrine_dream.ogg,Karmotrine Dream
MUSIC42,skyline.ogg,Skyline
MUSIC43,a_new_frontier.ogg,A New Frontier
MUSIC44,dusk.ogg,Dusk
MUSIC45,meet_the_staff.ogg,Meet The Staff
MUSIC46,heart_of_the_city.ogg,Heart of the City
MUSIC47,a_city_that_never_sleeps.ogg,A City That Never Sleeps
MUSIC48,base_of_the_titans.ogg,Base of the Titans
MUSIC49,follow_the_trail.ogg,Follow the Trail
MUSIC50,out_of_orbit.ogg,Out of Orbit
MUSIC51,tense.ogg,Tense
MUSIC52,underground_club.ogg,Underground Club
MUSIC53,showtime.ogg,Showtime
MUSIC54,an_alternate_reality.ogg,An Alternate Reality
MUSIC55,the_assignment.ogg,The Assignment
MUSIC56,PLACEHOLDER,PLACEHOLDER
MUSIC57,glitch_city.ogg,Glitch City
MUSIC58,snowfall_remix.ogg,Re: Snowfall
MUSIC59,base_of_titans_remix.ogg,Re: Base of the Titans
